Basho;Nishikijima;Sanoyama;;;;;;
1949.10;4-3-M1 Orochiyama--59-;;;;;;;
1950.01;4-2-M1 Orochiyama--59-;;;;;;;
1950.05;4-3-M1 Orochiyama--59-;;;;;;;
1950.09;5-3-M1 Orochiyama--59-;;;;;;;
1951.01;5-3-M1 Orochiyama--59-;;;;;;;
1951.05;6-3-M1 Orochiyama--59-;;;;;;;
1951.09;6-3-M1 Orochiyama--59-;;;;;;;
1952.01;6-3-M1 Orochiyama--59-;;;;;;;
1952.05;6-3-M1 Orochiyama--59-;;;;;;;
1952.09;6-3-M1 Orochiyama--59-;;;;;;;
1953.01;6-3-M1 Orochiyama--59-;;;;;;;
1953.03;5-3-M1 Orochiyama--59-;;;;;;;
1953.05;5-3-M1 Orochiyama--59-;;;;;;;
1953.09;5-3-M1 Orochiyama--59-;;;;;;;
1954.01;5-3-M1 Orochiyama--59-;;;;;;;
1954.03;5-3-M1 Orochiyama--59-;;;;;;;
1954.05;4-3-M1 Orochiyama--59-;;;;;;;
1954.09;5-3-M1 Orochiyama--59-;;;;;;;
1955.01;5-3-M1 Orochiyama--59-;;;;;;;
1955.03;5-2-M1 Orochiyama--59-;;;;;;;
1955.05;4-2-M1 Orochiyama--59-;;;;;;;
1955.09;4-2-M1 Orochiyama--59-;;;;;;;
1956.01;4-2-M1 Orochiyama--59-;;;;;;;
1956.03;4-2-M1 Orochiyama--59-;;;;;;;
1956.05;5-2-M1 Orochiyama--59-;;;;;;;
1956.09;5-2-Gyoji Kimura Kesazo-HT-59-;;;;;;;
1957.01;5-2-Gyoji Kimura Kesazo--59-;;;;;;;
1957.03;5-2-Gyoji Kimura Kesazo--59-;;;;;;;
1957.05;5-2-Gyoji Kimura Kesazo--59-;;;;;;;
1957.09;5-2-Gyoji Kimura Kesazo--59-;;;;;;;
1957.11;5-2-Gyoji Kimura Kesazo--59-;;;;;;;
1958.01;4-1-Gyoji Kimura Kesazo--59-;;;;;;;
1958.03;4-1-Gyoji Kimura Kesazo--59-;;;;;;;
1958.05;4-1-Gyoji Kimura Kesazo--59-;;;;;;;
1958.07;4-1-Gyoji Kimura Kesazo--59-;;;;;;;
1958.09;4-1-Gyoji Kimura Kesazo--59-;;;;;;;
1958.11;4-0-Gyoji Kimura Kesazo--59-;;;;;;;
1959.01;4-0-Gyoji Kimura Kesazo--59-;;;;;;;
1959.03;4-0-Gyoji Kimura Kesazo--59-;;;;;;;
1959.05;4-0-Gyoji Kimura Kesazo--59-;;;;;;;
1959.07;4-0-Gyoji Kimura Kesazo--59-;;;;;;;
1959.09;4-0-Gyoji Kimura Kesazo--59-;;;;;;;
1959.11;4-0-Gyoji Kimura Kesazo--59-;;;;;;;
1960.01;4-0-Gyoji Kimura Kesazo--59-;;;;;;;
1960.03;5-0-Gyoji Kimura Kesazo--59-;;;;;;;
1960.05;5-0-Gyoji Kimura Kesazo--59-;;;;;;;
1960.07;5-0-Gyoji Kimura Kesazo--59-;;;;;;;
1960.09;5-0-Gyoji Kimura Kesazo--59-;;;;;;;
1960.11;5-0-Gyoji Kimura Kesazo--59-;;;;;;;
1961.01;5-0-Gyoji Kimura Kesazo--59-;;;;;;;
1961.03;5-0-Gyoji Kimura Kesazo--59-;;;;;;;
1961.05;5-0-Gyoji Kimura Kesazo--59-;;;;;;;
1961.07;5-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori-HB-74-;;;;;;
1961.09;6-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1961.11;7-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1962.01;7-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1962.03;6-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1962.05;6-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1962.07;6-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1962.09;5-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1962.11;5-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1963.01;5-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1963.03;5-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1963.05;5-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1963.07;5-0-Gyoji Kimura Kesazo--59-;2-1-K Kuninobori--74-;;;;;;
1963.09;5-0-Gyoji Kimura Kesazo--59-;2-0-K Kuninobori--74-;;;;;;
1963.11;4-0-Gyoji Kimura Kesazo--59-;1-0-K Kuninobori--74-;;;;;;
1964.01;4-0-Gyoji Kimura Kesazo-HS-59-;1-0-K Kuninobori-HS-74-;;;;;;
1964.03;;;;;;;;
1964.05;;;;;;;;
1964.07;;;;;;;;
1964.09;;;;;;;;
1964.11;;;;;;;;
1965.01;;;;;;;;
1965.03;;;;;;;;
1965.05;;;;;;;;
1965.07;;;;;;;;
1965.09;;;;;;;;
1965.11;;;;;;;;
1966.01;;;;;;;;
1966.03;;;;;;;;
1966.05;;;;;;;;
1966.07;;;;;;;;
1966.09;;;;;;;;
1966.11;;;;;;;;
1967.01;;;;;;;;
1967.03;;;;;;;;
1967.05;;;;;;;;
1967.07;;;;;;;;
1967.09;;;;;;;;
1967.11;;;;;;;;
1968.01;;;;;;;;
1968.03;;;;;;;;
1968.05;;;;;;;;
1968.07;;;;;;;;
1968.09;;;;;;;;
1968.11;;;;;;;;
1969.01;;;;;;;;
1969.03;;;;;;;;
1969.05;;;;;;;;
1969.07;;;;;;;;
1969.09;;;;;;;;
1969.11;;;;;;;;
1970.01;;;;;;;;
1970.03;;;;;;;;
1970.05;;;;;;;;
1970.07;;;;;;;;
1970.09;;;;;;;;
1970.11;;;;;;;;
1971.01;;;;;;;;
1971.03;;;;;;;;
1971.05;;;;;;;;
1971.07;;;;;;;;
1971.09;;;;;;;;
1971.11;;;;;;;;
1972.01;;;;;;;;
1972.03;;;;;;;;
1972.05;;;;;;;;
1972.07;;;;;;;;
1972.09;;;;;;;;
1972.11;;;;;;;;
1973.01;;;;;;;;
1973.03;;;;;;;;
1973.05;;;;;;;;
1973.07;;;;;;;;
1973.09;;;;;;;;
1973.11;;;;;;;;
1974.01;;;;;;;;
1974.03;;;;;;;;
1974.05;;;;;;;;
1974.07;;;;;;;;
1974.09;;;;;;;;
1974.11;;;;;;;;
1975.01;;;;;;;;
1975.03;;;;;;;;
1975.05;;;;;;;;
1975.07;;;;;;;;
1975.09;;;;;;;;
1975.11;;;;;;;;
1976.01;;;;;;;;
1976.03;;;;;;;;
1976.05;;;;;;;;
1976.07;;;;;;;;
1976.09;;;;;;;;
1976.11;;;;;;;;
1977.01;;;;;;;;
1977.03;;;;;;;;
1977.05;;;;;;;;
1977.07;;;;;;;;
1977.09;;;;;;;;
1977.11;;;;;;;;
1978.01;;;;;;;;
1978.03;;;;;;;;
1978.05;;;;;;;;
1978.07;;;;;;;;
1978.09;;;;;;;;
1978.11;;;;;;;;
1979.01;;;;;;;;
1979.03;;;;;;;;
1979.05;;;;;;;;
1979.07;;;;;;;;
1979.09;;;;;;;;
1979.11;;;;;;;;
1980.01;;;;;;;;
1980.03;;;;;;;;
1980.05;;;;;;;;
1980.07;;;;;;;;
1980.09;;;;;;;;
1980.11;;;;;;;;
1981.01;;;;;;;;
1981.03;;;;;;;;
1981.05;;;;;;;;
1981.07;;;;;;;;
1981.09;;;;;;;;
1981.11;;;;;;;;
1982.01;;;;;;;;
1982.03;;;;;;;;
1982.05;;;;;;;;
1982.07;;;;;;;;
1982.09;;;;;;;;
1982.11;;;;;;;;
1983.01;;;;;;;;
1983.03;;;;;;;;
1983.05;;;;;;;;
1983.07;;;;;;;;
1983.09;;;;;;;;
1983.11;;;;;;;;
1984.01;;;;;;;;
1984.03;;;;;;;;
1984.05;;;;;;;;
1984.07;;;;;;;;
1984.09;;;;;;;;
1984.11;;;;;;;;
1985.01;;;;;;;;
1985.03;;;;;;;;
1985.05;;;;;;;;
1985.07;;;;;;;;
1985.09;;;;;;;;
1985.11;;;;;;;;
1986.01;;;;;;;;
1986.03;;;;;;;;
1986.05;;;;;;;;
1986.07;;;;;;;;
1986.09;;;;;;;;
1986.11;;;;;;;;
1987.01;;;;;;;;
1987.03;;;;;;;;
1987.05;;;;;;;;
1987.07;;;;;;;;
1987.09;;;;;;;;
1987.11;;;;;;;;
1988.01;;;;;;;;
1988.03;;;;;;;;
1988.05;;;;;;;;
1988.07;;;;;;;;
1988.09;;;;;;;;
1988.11;;;;;;;;
1989.01;;;;;;;;
1989.03;;;;;;;;
1989.05;;;;;;;;
1989.07;;;;;;;;
1989.09;;;;;;;;
1989.11;;;;;;;;
1990.01;;;;;;;;
1990.03;;;;;;;;
1990.05;;;;;;;;
1990.07;;;;;;;;
1990.09;;;;;;;;
1990.11;;;;;;;;
1991.01;;;;;;;;
1991.03;;;;;;;;
1991.05;;;;;;;;
1991.07;;;;;;;;
1991.09;;;;;;;;
1991.11;;;;;;;;
1992.01;;;;;;;;
1992.03;;;;;;;;
1992.05;;;;;;;;
1992.07;;;;;;;;
1992.09;;;;;;;;
1992.11;;;;;;;;
1993.01;;;;;;;;
1993.03;;;;;;;;
1993.05;;;;;;;;
1993.07;;;;;;;;
1993.09;;;;;;;;
1993.11;;;;;;;;
1994.01;;;;;;;;
1994.03;;;;;;;;
1994.05;;;;;;;;
1994.07;;;;;;;;
1994.09;;;;;;;;
1994.11;;;;;;;;
1995.01;;;;;;;;
1995.03;;;;;;;;
1995.05;;;;;;;;
1995.07;;;;;;;;
1995.09;;;;;;;;
1995.11;;;;;;;;
1996.01;;;;;;;;
1996.03;;;;;;;;
1996.05;;;;;;;;
1996.07;;;;;;;;
1996.09;;;;;;;;
1996.11;;;;;;;;
1997.01;;;;;;;;
1997.03;;;;;;;;
1997.05;;;;;;;;
1997.07;;;;;;;;
1997.09;;;;;;;;
1997.11;;;;;;;;
1998.01;;;;;;;;
1998.03;;;;;;;;
1998.05;;;;;;;;
1998.07;;;;;;;;
1998.09;;;;;;;;
1998.11;;;;;;;;
1999.01;;;;;;;;
1999.03;;;;;;;;
1999.05;;;;;;;;
1999.07;;;;;;;;
1999.09;;;;;;;;
1999.11;;;;;;;;
2000.01;;;;;;;;
2000.03;;;;;;;;
2000.05;;;;;;;;
2000.07;;;;;;;;
2000.09;;;;;;;;
2000.11;;;;;;;;
2001.01;;;;;;;;
2001.03;;;;;;;;
2001.05;;;;;;;;
2001.07;;;;;;;;
2001.09;;;;;;;;
2001.11;;;;;;;;
2002.01;;;;;;;;
2002.03;;;;;;;;
2002.05;;;;;;;;
2002.07;;;;;;;;
2002.09;;;;;;;;
2002.11;;;;;;;;
2003.01;;;;;;;;
2003.03;;;;;;;;
2003.05;;;;;;;;
2003.07;;;;;;;;
2003.09;;;;;;;;
2003.11;;;;;;;;
2004.01;;;;;;;;
2004.03;;;;;;;;
2004.05;;;;;;;;
2004.07;;;;;;;;
2004.09;;;;;;;;
2004.11;;;;;;;;
2005.01;;;;;;;;
2005.03;;;;;;;;
2005.05;;;;;;;;
2005.07;;;;;;;;
2005.09;;;;;;;;
2005.11;;;;;;;;
2006.01;;;;;;;;
2006.03;;;;;;;;
2006.05;;;;;;;;
2006.07;;;;;;;;
2006.09;;;;;;;;
2006.11;;;;;;;;
2007.01;;;;;;;;
2007.03;;;;;;;;
2007.05;;;;;;;;
2007.07;;;;;;;;
2007.09;;;;;;;;
2007.11;;;;;;;;
2008.01;;;;;;;;
2008.03;;;;;;;;
2008.05;;;;;;;;
2008.07;;;;;;;;
2008.09;;;;;;;;
2008.11;;;;;;;;
2009.01;;;;;;;;
2009.03;;;;;;;;
2009.05;;;;;;;;
2009.07;;;;;;;;
2009.09;;;;;;;;
2009.11;;;;;;;;
2010.01;;;;;;;;
2010.03;;;;;;;;
2010.05;;;;;;;;
2010.07;;;;;;;;
2010.09;;;;;;;;
2010.11;;;;;;;;
2011.01;;;;;;;;
2011.05;;;;;;;;
2011.07;;;;;;;;
2011.09;;;;;;;;
2011.11;;;;;;;;
2012.01;;;;;;;;
2012.03;;;;;;;;
2012.05;;;;;;;;
2012.07;;;;;;;;
2012.09;;;;;;;;
2012.11;;;;;;;;
2013.01;;;;;;;;
2013.03;;;;;;;;
2013.05;;;;;;;;
2013.07;;;;;;;;
2013.09;;;;;;;;
2013.11;;;;;;;;
2014.01;;;;;;;;
2014.03;;;;;;;;
2014.05;;;;;;;;
2014.07;;;;;;;;
2014.09;;;;;;;;
2014.11;;;;;;;;
2015.01;;;;;;;;
2015.03;;;;;;;;
2015.05;;;;;;;;
2015.07;;;;;;;;
2015.09;;;;;;;;
2015.11;;;;;;;;
2016.01;;;;;;;;
2016.03;;;;;;;;
2016.05;;;;;;;;
2016.07;;;;;;;;
2016.09;;;;;;;;
2016.11;;;;;;;;
2017.01;;;;;;;;
2017.03;;;;;;;;
2017.05;;;;;;;;
2017.07;;;;;;;;
2017.09;;;;;;;;
2017.11;;;;;;;;
2018.01;;;;;;;;
2018.03;;;;;;;;
2018.05;;;;;;;;
2018.07;;;;;;;;
2018.09;;;;;;;;
2018.11;;;;;;;;
2019.01;;;;;;;;
2019.03;;;;;;;;
2019.05;;;;;;;;
2019.07;;;;;;;;
2019.09;;;;;;;;
2019.11;;;;;;;;
2020.01;;;;;;;;
2020.03;;;;;;;;
2020.07;;;;;;;;
2020.09;;;;;;;;
2020.11;;;;;;;;
2021.01;;;;;;;;
2021.03;;;;;;;;
2021.05;;;;;;;;
2021.07;;;;;;;;
2021.09;;;;;;;;
2021.11;;;;;;;;
2022.01;;;;;;;;
